0,0,0,0,0,0
1.0225612991757421e+46,1.9078890643566332e+26,1.4784807370054693e+26,3.662310939051984e+25,3.6230349625598185e+24,1
1.2451187584081093e+46,1.909298687966769e+26,1.459209366985719e+26,4.389113959089894e+25,2.7691244213279146e+24,3
2.303770456378289e+46,1.9026546112585657e+26,1.4524133596714175e+26,4.352616599366213e+25,4.54048928707033e+24,2
1.5804587138730952e+46,1.9036651551457826e+26,1.4375960433853386e+26,4.495576086189956e+25,3.8766634641062775e+24,4
1.1007571632303575e+46,1.8928449742982104e+26,1.497039546620187e+26,4.797024711312426e+25,3.4755609862206383e+24,6
2.153393794734798e+46,1.9031298000121248e+26,1.396857778466047e+26,4.852115226047006e+25,5.050255790362334e+24,6
2.627832162220015e+46,1.8999197307987383e+26,1.477025307336138e+26,4.9344700468269475e+25,5.123656268475939e+24,8
3.005682443188063e+46,1.8981574987446706e+26,1.442452339383124e+26,5.065229607055512e+25,6.931932100471068e+24,13
3.8682345616947597e+46,1.899084356527964e+26,1.4222703272434816e+26,5.135106559450363e+25,6.566095119059838e+24,11
3.9101691443848865e+46,1.88981045872394e+26,1.4237464011605195e+26,5.298961087049452e+25,9.970675476162146e+24,16
5.485239361215761e+46,1.8731792378256415e+26,1.4210441777728009e+26,5.39179529630386e+25,9.570329670176609e+24,12
8.734478014900556e+46,1.863959094027345e+26,1.4124633660595174e+26,5.581919809073709e+25,1.5519061417176708e+25,10
7.084029706222538e+46,1.863193627292492e+26,1.39704268879169e+26,5.64905781229159e+25,1.3793955989442928e+25,14
9.684257009840855e+46,1.854291458652601e+26,1.3903710817385257e+26,5.718124403282387e+25,1.2634910584786976e+25,11
1.017097613802695e+47,1.8472972262638885e+26,1.3618087960153549e+26,5.8562848990035335e+25,1.2329203974731094e+25,12
1.6205340942010856e+47,1.842177129753945e+26,1.3528351803999584e+26,5.888947293770959e+25,1.374285769997294e+25,8
1.4628094820454689e+47,1.8351097791320058e+26,1.3412970994005281e+26,5.971618935314227e+25,1.5091169921547944e+25,11
8.346047937082009e+46,1.82629968013643e+26,1.3234955553905693e+26,6.047074225411156e+25,1.480161078048242e+25,21
6.870657816469867e+46,1.8180364082783372e+26,1.308702411452282e+26,6.229173848804588e+25,1.3876305640654298e+25,29
7.318731871080969e+46,1.8095000969217618e+26,1.299998560263725e+26,6.313747350308154e+25,1.6807455491086712e+25,30
8.05490309659095e+46,1.804931226744479e+26,1.2789017969888341e+26,6.533180814112367e+25,1.7742145864114934e+25,33
1.1138828975538114e+47,1.8096385948864157e+26,1.2623193185552667e+26,6.6293131996760935e+25,1.6067143673684628e+25,28
1.8685803975820256e+47,1.810858259847623e+26,1.2541174295155832e+26,6.761589830915384e+25,2.1235483214058415e+25,20
1.4024224482073083e+47,1.807850734632637e+26,1.2496943001051722e+26,6.846793488832447e+25,1.958789888471429e+25,31
1.655968539626631e+47,1.8066385284000743e+26,1.2406775159070912e+26,6.917199023635592e+25,1.971984157103603e+25,29
2.4471295404784193e+47,1.8051857882490734e+26,1.2327188342656307e+26,6.97360390053997e+25,2.1134282176110014e+25,21
